AR,Role,Total France Authors,Total Authors,Percentage of Authors in France
1,Coordinating Lead Author,2,65,3.0769
1,Lead Author,10,266,3.7594
1,Contributing Author,0,183,0.0000
2,Coordinating Lead Author,4,70,5.7143
2,Lead Author,16,421,3.8005
2,Contributing Author,18,658,2.7356
3,Coordinating Lead Author,1,85,1.1765
3,Lead Author,12,415,2.8916
3,Review Editor,2,74,2.7027
3,Contributing Author,24,805,2.9814
4,Coordinating Lead Author,3,101,2.9703
4,Lead Author,24,505,4.7525
4,Review Editor,3,97,3.0928
4,Contributing Author,38,774,4.9096
5,Coordinating Lead Author,4,127,3.1496
5,Lead Author,22,627,3.5088
5,Review Editor,9,152,5.9211
5,Contributing Author,43,976,4.4057
