AR,Role,Total France Participations,Total Participations,Percentage of France Participations
1,Coordinating Lead Author,3,72,4.1667
1,Lead Author,11,311,3.5370
1,Contributing Author,0,195,0.0000
2,Coordinating Lead Author,5,74,6.7568
2,Lead Author,21,556,3.7770
2,Contributing Author,20,752,2.6596
3,Coordinating Lead Author,1,85,1.1765
3,Lead Author,12,554,2.1661
3,Review Editor,2,87,2.2989
3,Contributing Author,25,931,2.6853
4,Coordinating Lead Author,3,101,2.9703
4,Lead Author,29,658,4.4073
4,Review Editor,3,108,2.7778
4,Contributing Author,42,912,4.6053
5,Coordinating Lead Author,4,127,3.1496
5,Lead Author,23,665,3.4586
5,Review Editor,9,152,5.9211
5,Contributing Author,50,1141,4.3821
